path,name,code,sub-code,original-price,price,sale-price,options,headline,caption,abstract,explanation,additional1,additional2,additional3,relevant-links,ship-weight,taxable,release-date,temporary-point-term,point-code,meta-desc,template,sale-period-start,sale-period-end,sale-limit,sp-code,brand-code,yahoo-product-code,product-code,jan,isbn,delivery,astk-code,condition,product-category,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10,display,sort,sp-additional
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・シェニョ / ドメーヌ・ロベール・シュヴィヨン",1748,,12000,12000,,,ニュイ・サン・ジョルジュ、トップ・ドメーヌの１つ,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・ロンシエール / ドメーヌ・ロベール・シュヴィヨン",1752,,12000,12000,,,ニュイ・サン・ジョルジュ、トップ・ドメーヌの１つ,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・ペリエール / ドメーヌ・ロベール・シュヴィヨン",2473,,12000,12000,,,ニュイ・サン・ジョルジュ、トップ・ドメーヌの１つ,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・ヴォークラン / ドメーヌ・ロベール・シュヴィヨン",2470,,14000,14000,,,ニュイ・サン・ジョルジュ、トップ・ドメーヌの１つ,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ロワール河流域","1997 ソミュール・シャンピニィ・キュヴェ・マルジナル / ドメーヌ・デ・ロッシュ・ヌーヴ",2472,,12000,12000,,,,,,"国: France
地方: Vall?e de la Loire
ブドウ品種: カベルネ・フラン100%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ロワール河流域","2006 ソミュール・シャンピニィ・レ・ロジュラン / ドメーヌ・ルネ・ノエル・ルグラン",2478,,4500,4500,,,"ソミュール・シャンピニーの代表ドメーヌ ☆(B&D)",,,"国: France
地方: Vall?e de la Loire
ブドウ品種: カベルネ・フラン100%
インポーター: Yokohama KIMIJIMAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ブルゴーニュ地方","2012 コルトン・シャルルマーニュ・グラン・クリュ / ドメーヌ・ポワゾ",2497,,20400,20400,,,早くも高評価を得た超新星マイクロドメーヌ,,,"国: France
地方: Bourgogne
ブドウ品種: シャルドネ100%
インポーター: VIVIT
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 コルトン・ブレッサンド・グラン・クリュ / ドメーヌ・ポワゾ",2486,,14800,14800,,,早くも高評価を得た超新星マイクロドメーヌ,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: VIVIT
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ロワール河流域","2012 プイィ・フュメ ・”ピュル・サン” / ドメーヌ・ディディエ・ダグノー",2510,,12000,12000,,,,,,"国: France
地方: Vall?e de la Loire
ブドウ品種: ソーヴィニヨン・ブラン100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ロワール河流域","2012 プイィ・フュメ ・”シレックス” / ドメーヌ・ディディエ・ダグノー",2503,,17000,17000,,,,,,"国: France
地方: Vall?e de la Loire
ブドウ品種: ソーヴィニヨン・ブラン100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
